#Thorlabs FTS
[SpectrumHeader]
#Date,20250203
#Time,15375844
#GMTTime,23375844
#Instrument,0
#InstrModel,CCS100
#Series,0
#InterferometerSerial,M00997582
#Type,emission
#ChannelIndex,0
#XAxisUnit,nm_air
#YAxisUnit,intensity
#Average,1
#RollingAverage,0
#SpectrumSmooth,0
#SSmoothParam1,0
#SSmoothParam2,0
#SSmoothParam3,0
#SSmoothParam4,0
#IntegrationTime,100.000000
#TriggerMode,0
#AirMeasureOpt,0
#AirTemp,0.00
#AirPressure,0.00
#AirRelHum,0.00
#WnrMin,13448.815430
#WnrMax,31151.394531
#Length,3648
#Resolution,0.0000000000e+00
#ADC,0
#InstrStatus,0
#RefLaserLocked,0
#ChannelIndex,0
#AttenuationFilter,0
#Stitched,0
#ExcitationWavelength_nm,0
#SoftwareVersion,3.350000
#FirmwareVersion,
#Motor_FirmwareVersion,
#ReconstructionAlgorithms_SoftwareVersion,
#Sensor_FirmwareVersion,
#InstrSeriesIdentifier,MUN_CCS_SERIES
#RefGainIndex,0
#RefSignalInPerecent,0.0
#BBRefGainIndex,0
#BBRefSignalInPerecent,0.0
#AutogainStatus,0
#Name,
#Comment,""
#ExtComment,""
#Source,
[Data]
Pixel Number,Measured Signal
3.648675842e+02,1.426542527e-03
3.649781189e+02,1.065552933e-03
3.650886536e+02,1.255547395e-03
3.651992188e+02,1.583288054e-06
3.653097534e+02,1.597537659e-03
3.654203186e+02,1.597537659e-03
3.655309143e+02,2.059699409e-02
3.656414795e+02,7.807034999e-02
3.657520447e+02,7.438445836e-02
3.658626404e+02,3.826649114e-02
3.659732361e+02,2.418789268e-02
3.660838318e+02,2.150896937e-02
3.661944275e+02,1.550513972e-02
3.663050537e+02,8.323345333e-03
3.664156494e+02,6.974384189e-03
3.665262756e+02,2.509511542e-03
3.666369019e+02,1.749533345e-03
3.667475281e+02,1.635536551e-03
3.668581848e+02,3.820474027e-03
3.669688110e+02,8.171349764e-03
3.670794678e+02,7.753361948e-03
3.671901245e+02,3.421485424e-03
3.673007812e+02,4.200463183e-03
3.674114685e+02,4.005718802e-04
3.675221252e+02,6.095659337e-04
3.676328125e+02,-8.153933450e-04
3.677434998e+02,1.483540982e-03
3.678541870e+02,1.597537659e-03
3.679648743e+02,1.977526816e-03
3.680755920e+02,1.255547395e-03
3.681862793e+02,1.535789488e-04
3.682969971e+02,3.815724340e-04
3.684077148e+02,1.350544742e-03
3.685184631e+02,3.958220259e-05
3.686291809e+02,-2.074107324e-04
3.687399292e+02,-7.441453636e-05
3.688506470e+02,1.103551826e-03
3.689613953e+02,3.435735125e-04
3.690721741e+02,2.015525708e-03
3.691829224e+02,7.758111315e-05
3.692936707e+02,1.065552933e-03
3.694044495e+02,1.255547395e-03
3.695152283e+02,9.135572473e-04
3.696260071e+02,-7.441453636e-05
3.697368164e+02,-1.741616870e-05
3.698475952e+02,-1.233381452e-03
